Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3000000,1.3127906,56.07438,184.98181818181817,538.2363636363636,538.2363636363636,1.0
3010000,1.312718,56.212666,175.6851851851852,505.8888888888889,505.8888888888889,1.0
3020000,1.3125135,57.91125,188.38181818181818,562.9090909090909,562.9090909090909,1.0
3030000,1.3124737,60.043648,176.6909090909091,528.9363636363636,528.9363636363636,1.0
3040000,1.3123267,58.9014,181.75,549.3,549.3,1.0
3050000,1.3123027,58.228085,175.64912280701753,521.9741379310345,521.9741379310345,1.0
3060000,1.3121612,60.24532,175.67857142857142,536.3392857142857,536.3392857142857,1.0
3070000,1.3121966,58.703133,175.68421052631578,532.0438596491229,532.0438596491229,1.0
3080000,1.3125094,60.633743,175.64285714285714,543.9732142857143,543.9732142857143,1.0
3090000,1.3125306,59.11898,192.7843137254902,573.1274509803922,573.1274509803922,1.0
3100000,1.312721,56.454956,185.38888888888889,508.50925925925924,508.50925925925924,1.0
3110000,1.3127089,58.900623,175.63793103448276,525.6228070175439,525.6228070175439,1.0
3120000,1.3124511,57.943687,175.67857142857142,502.5964912280702,502.5964912280702,1.0
3130000,1.3124511,59.39799,192.48979591836735,524.2551020408164,524.2551020408164,1.0
3140000,1.3122827,60.358463,201.01923076923077,549.5784313725491,549.5784313725491,1.0
3150000,1.312278,57.417934,175.6727272727273,480.0892857142857,480.0892857142857,1.0
3160000,1.3120844,58.56485,184.89285714285714,523.9454545454546,523.9454545454546,1.0
3170000,1.3120672,61.05664,175.67857142857142,503.2456140350877,503.2456140350877,1.0
3180000,1.3120105,59.25445,175.67307692307693,508.2019230769231,508.2019230769231,1.0
3190000,1.312004,58.49747,205.23529411764707,540.9509803921569,540.9509803921569,1.0
3200000,1.3116149,60.34609,175.68965517241378,489.2894736842105,489.2894736842105,1.0
3210000,1.3115152,62.18265,178.76363636363635,554.875,554.875,1.0
3220000,1.3115879,62.9738,181.85714285714286,562.790909090909,562.790909090909,1.0
3230000,1.311617,62.74831,175.64285714285714,502.14912280701753,502.14912280701753,1.0
