Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
920000,1.3814443,107.75,30.224293,356.5054339196371,356.5054339196371,1.0
930000,1.3805871,105.82105263157895,31.385206,351.33085163603437,351.33085163603437,1.0
940000,1.3800361,110.11111111111111,30.725042,368.22111331621807,368.22111331621807,1.0
950000,1.3786733,108.6043956043956,32.104324,374.0252762847058,374.0252762847058,1.0
960000,1.3776506,109.32967032967034,30.069159,376.00989328013674,376.00989328013674,1.0
970000,1.3769339,108.62637362637362,31.887522,367.2164831161499,367.2164831161499,1.0
980000,1.3763199,108.67032967032966,32.69417,362.3153867813257,362.3153867813257,1.0
990000,1.3757874,110.31460674157303,31.216413,380.60222251150344,380.60222251150344,1.0
1000000,1.3751551,111.04444444444445,30.57475,393.09101039907904,393.09101039907904,1.0
1010000,1.3750616,110.86363636363636,31.858292,395.97752798809097,395.97752798809097,1.0
1020000,1.3749331,111.46067415730337,30.984999,393.7269631717982,393.7269631717982,1.0
1030000,1.3744717,109.83695652173913,31.19914,390.02857420994684,390.02857420994684,1.0
1040000,1.3736632,115.03529411764706,31.39733,419.38837266522785,419.38837266522785,1.0
1050000,1.3730513,112.93181818181819,33.257847,412.6420499194752,412.6420499194752,1.0
1060000,1.3717042,121.15853658536585,30.92545,449.72839656895326,449.72839656895326,1.0
1070000,1.3711681,119.7710843373494,32.269234,446.2797657827891,446.2797657827891,1.0
1080000,1.3694484,117.91764705882353,32.282722,443.1036133720394,443.1036133720394,1.0
1090000,1.3693324,120.28395061728395,32.133293,448.22439135229445,448.22439135229445,1.0
1100000,1.3688011,120.96385542168674,33.12383,468.06024353762706,468.06024353762706,1.0
1110000,1.3687162,122.64556962025317,33.67518,461.1099985279143,461.1099985279143,1.0
1120000,1.3681831,118.68235294117648,34.98273,461.7752936374615,461.7752936374615,1.0
1130000,1.3680661,119.89156626506023,34.04367,469.14390128996314,469.14390128996314,1.0
1140000,1.3666624,120.12048192771084,35.415844,477.19276685599823,477.19276685599823,1.0
1150000,1.3666184,117.73170731707317,36.445942,456.30241389446945,456.30241389446945,1.0
1160000,1.3653508,123.51851851851852,34.623177,503.96499998215586,503.96499998215586,1.0
1170000,1.3653508,119.8452380952381,35.97378,475.3214307876215,475.3214307876215,1.0
1180000,1.3649206,120.41463414634147,38.064697,475.1518077441009,475.1518077441009,1.0
1190000,1.3649118,120.39024390243902,37.889294,478.4901254912953,478.4901254912953,1.0
1200000,1.3643217,125.58227848101266,38.140053,504.4708869560044,504.4708869560044,1.0
1210000,1.364273,122.32926829268293,38.43139,486.32317272773605,486.32317272773605,1.0
1220000,1.362994,123.0126582278481,40.34349,471.9774997904897,471.9774997904897,1.0
1230000,1.3627847,121.36144578313252,35.96919,501.73658441688593,501.73658441688593,1.0
1240000,1.3607088,126.23076923076923,40.146545,492.912660245371,492.912660245371,1.0
1250000,1.3602407,124.53164556962025,41.511475,504.77341613786507,504.77341613786507,1.0
1260000,1.3592309,127.46835443037975,40.96248,496.8820526131835,496.8820526131835,1.0
1270000,1.3589267,126.53164556962025,40.545673,507.10885971897767,507.10885971897767,1.0
1280000,1.3589075,127.76315789473684,40.311527,486.94934853456624,486.94934853456624,1.0
1290000,1.358902,124.9493670886076,41.212307,482.12405218183994,482.12405218183994,1.0
1300000,1.3579987,125.9,41.44455,500.73499742522836,500.73499742522836,1.0
1310000,1.3575171,125.89873417721519,40.228485,483.63417226151574,483.63417226151574,1.0
1320000,1.3562093,125.74358974358974,43.31289,503.840258749468,503.840258749468,1.0
1330000,1.3553332,121.4390243902439,41.655895,488.9915627628924,488.9915627628924,1.0
1340000,1.3551236,127.0253164556962,43.66483,513.5717931970572,513.5717931970572,1.0
1350000,1.3549592,126.85526315789474,46.766464,483.08831004856467,483.08831004856467,1.0
1360000,1.354606,125.72151898734177,48.713314,517.9999968915046,517.9999968915046,1.0
1370000,1.3542483,125.22222222222223,48.225773,501.05185224759725,501.05185224759725,1.0
1380000,1.3536425,124.8051948051948,49.413105,492.33506330238146,492.33506330238146,1.0
1390000,1.3528664,127.05,49.105965,500.8050605601902,500.8050605601902,1.0
1400000,1.3524885,132.78666666666666,50.026627,527.5293301399549,527.5293301399549,1.0
1410000,1.3519096,127.34615384615384,49.259163,504.7784801815884,504.7784801815884,1.0
1420000,1.3521105,125.72151898734177,52.4964,500.00632946664774,500.00632946664774,1.0
1430000,1.3524934,127.10666666666667,52.379856,505.5666678365072,505.5666678365072,1.0
1440000,1.3519255,129.54430379746836,51.31253,515.4525638237977,515.4525638237977,1.0
1450000,1.3503783,130.43421052631578,53.48762,533.740259314222,533.740259314222,1.0
1460000,1.3502221,128.62820512820514,54.51223,515.675639831867,515.675639831867,1.0
1470000,1.3497316,133.3108108108108,56.487045,554.7310836379593,554.7310836379593,1.0
1480000,1.3497442,131.72368421052633,56.625034,529.5093327891826,529.5093327891826,1.0
1490000,1.3498108,134.82191780821918,55.94067,538.9287679810842,538.9287679810842,1.0
1500000,1.3496805,129.81333333333333,56.882267,520.2520001896222,520.2520001896222,1.0
1510000,1.3484867,133.48684210526315,56.632977,552.4818179839617,552.4818179839617,1.0
1520000,1.348457,133.0,59.801636,512.3729772359334,512.3729772359334,1.0
1530000,1.3472883,135.83783783783784,58.473957,567.6068534541824,567.6068534541824,1.0
1540000,1.3472881,129.6891891891892,62.24092,533.8613356145223,533.8613356145223,1.0
1550000,1.3458666,135.09333333333333,62.744823,527.5054040016556,527.5054040016556,1.0
1560000,1.3458284,139.19444444444446,61.054695,569.9943687590495,569.9943687590495,1.0
1570000,1.3447325,134.90140845070422,62.04019,533.8930575897297,533.8930575897297,1.0
1580000,1.3446337,144.70422535211267,59.021725,571.7097189662358,571.7097189662358,1.0
1590000,1.3437064,141.2,63.803223,595.9785727801068,595.9785727801068,1.0
1600000,1.3436083,139.57746478873239,62.17888,568.4295792291072,568.4295792291072,1.0
1610000,1.3425008,139.5211267605634,65.03198,554.927145375205,554.927145375205,1.0
1620000,1.3422674,137.43661971830986,67.12987,562.7157143674791,562.7157143674791,1.0
1630000,1.3418541,140.8450704225352,67.83036,567.2458339263168,567.2458339263168,1.0
1640000,1.3417169,143.47142857142856,62.87417,583.2056356714645,583.2056356714645,1.0
1650000,1.3415053,140.0281690140845,65.77858,570.6154933224472,570.6154933224472,1.0
1660000,1.3414282,141.8732394366197,68.13909,583.6700007508908,583.6700007508908,1.0
1670000,1.3412919,140.27142857142857,66.23542,571.1309898067528,571.1309898067528,1.0
1680000,1.3412248,140.3,68.49213,574.3100030967167,574.3100030967167,1.0
1690000,1.341082,139.63768115942028,68.17073,567.7463788029509,567.7463788029509,1.0
1700000,1.340977,141.79166666666666,67.280396,579.9736086316407,579.9736086316407,1.0
1710000,1.3406086,143.6086956521739,67.872154,611.8898571519101,611.8898571519101,1.0
1720000,1.340299,140.32394366197184,73.81661,580.2929580467687,580.2929580467687,1.0
1730000,1.3393862,141.67142857142858,72.18644,592.2571454322764,592.2571454322764,1.0
1740000,1.3385184,145.63235294117646,70.07181,578.0477604252189,578.0477604252189,1.0
1750000,1.3379196,146.4264705882353,74.09338,612.0808852299609,612.0808852299609,1.0
1760000,1.3371956,149.76923076923077,71.7238,604.0621226597013,604.0621226597013,1.0
1770000,1.3369889,139.5205479452055,75.25057,585.3380251820658,585.3380251820658,1.0
1780000,1.3366773,138.63768115942028,74.96949,581.0450718853045,581.0450718853045,1.0
1790000,1.3365918,149.5441176470588,72.72623,617.6791058387329,617.6791058387329,1.0
1800000,1.3364195,145.51470588235293,74.88963,617.7652207336564,617.7652207336564,1.0
1810000,1.3361297,144.02857142857144,73.82078,598.8357178206954,598.8357178206954,1.0
1820000,1.3354456,148.72727272727272,79.341545,617.5353884674035,617.5353884674035,1.0
1830000,1.3349401,154.07692307692307,73.902336,653.0939403785901,653.0939403785901,1.0
1840000,1.3334675,144.71428571428572,78.543396,627.2144909038924,627.2144909038924,1.0
1850000,1.3330631,142.32857142857142,79.8733,614.2471416368016,614.2471416368016,1.0
1860000,1.3315829,151.96923076923076,78.88136,630.7538506449415,630.7538506449415,1.0
1870000,1.3316095,142.63235294117646,78.63355,601.7176464419155,601.7176464419155,1.0
1880000,1.3317863,136.73611111111111,79.96812,572.6260316951634,572.6260316951634,1.0
1890000,1.3318063,145.66666666666666,75.66645,608.0400002607932,608.0400002607932,1.0
1900000,1.3321049,144.11111111111111,79.35532,644.6513920889961,644.6513920889961,1.0
1910000,1.332088,141.11428571428573,79.32281,604.5478925016564,604.5478925016564,1.0
1920000,1.3310897,157.4126984126984,73.645584,701.5396851072945,701.5396851072945,1.0
1930000,1.3310897,145.5,77.000374,631.726470497163,631.726470497163,1.0
1940000,1.3294827,157.74603174603175,76.29456,705.9158758435931,705.9158758435931,1.0
1950000,1.3294418,148.1764705882353,78.382324,649.8558832780623,649.8558832780623,1.0
1960000,1.3290592,150.8125,77.08729,626.2546879742295,626.2546879742295,1.0
1970000,1.329037,156.31147540983608,74.95522,677.0393442193993,677.0393442193993,1.0
1980000,1.3289421,161.1904761904762,76.230965,648.04603379681,648.04603379681,1.0
1990000,1.3289249,162.109375,77.36347,668.8062485922128,668.8062485922128,1.0
2000000,1.3281394,148.8181818181818,76.47369,654.9787905613581,654.9787905613581,1.0
2010000,1.3279793,154.21875,76.27927,701.7843742612749,701.7843742612749,1.0
2020000,1.3274411,160.47540983606558,79.242165,706.6383344491322,706.6383344491322,1.0
